Year/Month/Day,Recreation Visits
7/1/2012,888335
8/1/2012,780286
9/1/2012,527610
10/1/2012,177069
11/1/2012,14059
12/1/2012,18472
1/1/2013,24699
2/1/2013,31053
3/1/2013,18613
4/1/2013,24606
5/1/2013,293250
6/1/2013,624429
7/1/2013,812212
8/1/2013,725136
9/1/2013,557925
10/1/2013,47560
11/1/2013,11169
12/1/2013,17378
1/1/2014,26778
2/1/2014,28233
3/1/2014,18778
4/1/2014,31356
5/1/2014,310039
6/1/2014,669642
7/1/2014,858856
8/1/2014,773357
9/1/2014,571764
10/1/2014,194804
11/1/2014,11537
12/1/2014,18340
1/1/2015,28091
2/1/2015,34343
3/1/2015,22989
4/1/2015,46600
5/1/2015,386064
6/1/2015,780768
7/1/2015,980702
8/1/2015,854408
9/1/2015,680213
10/1/2015,252013
11/1/2015,11049
12/1/2015,20470
1/1/2016,30621
2/1/2016,36327
3/1/2016,22924
4/1/2016,59253
5/1/2016,444630
6/1/2016,838316
7/1/2016,995917
8/1/2016,841036
9/1/2016,701754
10/1/2016,242004
11/1/2016,24710
12/1/2016,19685
